longitude,latitude,created_at,tweet_id,text,score
-73.53391126,40.63784790,"2015-06-07 00:40:19",607346312535810048,"Jerry stack&gt;&gt;&gt;&gt;&gt;",1.2557
-73.92846420,40.68283844,"2015-06-07 00:40:19",607346313420603392,"I MET AFROCHEEKS! ----&gt; @thechicoleo at #SENYC (he's so cool)",1.6448
-78.83782700,35.77453995,"2015-06-07 00:40:21",607346320467234816,"Wearing my almost 1 of a kind @ULRaginCajuns baseball cap today!  #GeauxCajuns http://t.co/RLnAcsi0mg",1.4567
-73.99759384,40.71859741,"2015-06-07 00:40:23",607346327333269504,"Congrats #AmericanPharaoh first #TripleCrown in over 35 years! In#NYC watching it",1.3717
-82.98330000,39.98329926,"2015-06-07 00:40:23",607346327404617728,"Just posted a photo @ Columbus, Ohio https://t.co/h3bf1YBMDs",1.3074
-73.92651600,40.82961273,"2015-06-07 00:40:23",607346331171057664,"'I'd like to thank the good Lord for making me a Yankee.' -Joe DiMaggio  abellack90 @ Yankee Stadium https://t.co/aFbtVd1bI0",1.1509
-75.11710000,38.46039963,"2015-06-07 00:40:24",607346332043476992,"When in Delaware... (this is great beer). - Drinking a Red &amp; White by @dogfishbeer @ Bayside Pool   http://t.co/5E6vFSjjO3",1.3194
-80.01563627,40.44638062,"2015-06-07 00:40:24",607346332257419264,"And life was never worse but never better in wonderland  #lowkeydyingrightnow @ in your wildest dreams https://t.co/M11eW9Wu0m",0.7417
-79.34444906,44.64843369,"2015-06-07 00:40:24",607346333620535296,"Heard on b101, they mentioned the Rama Artists.  I feel some pride to see this happen! https://t.co/13gmTymega",1.2831
-84.19565452,39.66206360,"2015-06-07 00:40:24",607346333888991232,"@steve_ojones haha thank you!",1.8930
-73.94729633,41.08697891,"2015-06-07 00:40:24",607346334182567936,"When you make Kristina hike halfway up a mountain to only kinda see the sunset....sorry about the mud https://t.co/oKl3sblxmP",0.7618
-72.87386660,41.31944656,"2015-06-07 00:40:24",607346335491231744,"#celebratingLife even after working 16 hours couldn't miss my boy Vince Black 30th Bday cookout..... https://t.co/FE5TVrQqhL",1.1996
-71.08659891,42.34650803,"2015-06-07 00:40:26",607346339802955776,"Opened Pothole report via open311 at St Cecilia St http://t.co/vsgcFNz799. Please repair pothole on left side of street the user entered...",0.7175
-86.09055782,43.95215607,"2015-06-07 00:40:26",607346340524355584," @ Sunburn Island https://t.co/ANvxav10w3",0.6057
-78.88213207,43.04618835,"2015-06-07 00:40:26",607346343636529152,"Don't tell mom the babysitter's dead ",0.6584
-73.98372990,40.75391769,"2015-06-07 00:40:28",607346350842368000,"#empire #state #building @ Bryant Park https://t.co/ewS1REeuE1",1.1547
-74.45318814,40.46622849,"2015-06-07 00:40:28",607346351177912320,"Con el amor de mi vida maulis98 @ North Brunswick Ritas https://t.co/2xnDbYaecs",1.2583
-75.78557000,39.67581940,"2015-06-07 00:40:28",607346351546974209,"Our last #highschool #graduate!!!  #thebaby #2015 #SMHS @ At home in Abbotsford https://t.co/vM0bXAeNvX",0.7958
-73.96763000,40.69749832,"2015-06-07 00:40:29",607346354570993665,"Dinner with the LoSapio ladies. (with Michelle at Il Porto)  https://t.co/lYaqg8RF9s",1.2113
-84.63456273,44.32457352,"2015-06-07 00:40:30",607346356571795457,"you said keep our business on the low low",0.6555
-72.33700000,41.52119827,"2015-06-07 00:40:30",607346359969161216,"Drinking a Naughty Eskimo by @sb_brewing @ Lake House At Lake Hayward  http://t.co/GmbCGU36oe #photo",0.6418
-68.77110000,44.80120087,"2015-06-07 00:40:30",607346360703172608,"Beer &amp; Poutine - Drinking a Troublesome by @offcolorbrewing @ Blaze   http://t.co/73He12j6XM #photo",0.7687
-73.97811751,40.68655777,"2015-06-07 00:40:32",607346365761495040,"@cedarlake @BAM_Brooklyn tonight! #NewYorkCity is losing something really special tonight! #mindblown",0.8905
-83.00617484,39.98804474,"2015-06-07 00:40:32",607346366898151425,"Mangos Cafe Ultimate LED LIGHT Hookah using the Kaloud Lotus with natural coals!!  #mangoscafe https://t.co/kZu9vz4dhC",1.2717
-78.59281233,35.61476898,"2015-06-07 00:40:32",607346369012056064,"@sydkieft @karminn_r  with amanda?",1.2125
-78.16081948,39.09990311,"2015-06-07 00:40:33",607346370853388288,"@GroveBryan @Austinestrada_ As waka flocka once said, I go hard in the mothafuckin paint",0.7191
-73.88023773,40.74608994,"2015-06-07 00:40:34",607346374192078848,"happy 17th (22nd) to my best friend love u forever zfav @ Mahattan https://t.co/2LvSINWqfd",1.6051
-86.18454510,41.65460205,"2015-06-07 00:40:34",607346375504871425,"@Rachhomieqaun all head shots if ya think you can take my bitch",0.6813
-73.97735500,40.75183868,"2015-06-07 00:40:35",607346378696749056,"Family first! #kallyandpeter2015 #cipriani #elegant @ Cipriani 42nd Street https://t.co/kYfupLG3kr",1.3394
-76.26705330,36.78451538,"2015-06-07 00:40:36",607346382324776960,"One of our many adventures 
 @ Water Country Williamsburg https://t.co/nzipjBmeUo",1.4050
-71.08507263,42.30377197,"2015-06-07 00:40:36",607346382832287744,"This chick right here come all the way from LA to sleep. #SMDH @6klaud1a7 @ludakrys1 bernie02124 https://t.co/rqbsrueFOf",1.5225
-71.48987500,42.49493027,"2015-06-07 00:40:38",607346392386936832,"So much love for these amazing people  Congratulations Cami and Cam! #whendidwegetold @ five star https://t.co/vXZLd7hdDe",1.6846
-74.03127328,40.73156738,"2015-06-07 00:40:38",607346394094047232,"Just posted a photo @ Newport Beach https://t.co/0iJAmHG68B",1.5134
-84.46100855,42.80120850,"2015-06-07 00:40:39",607346395578814464,"moment of history http://t.co/x1vUY94Fih",0.8343
-71.11413203,41.67951965,"2015-06-07 00:40:39",607346396207935488,"Prom ft. Chrissy Smooooive @ White's of Westport https://t.co/kIzl2BkF6Y",1.2484
-79.38571937,43.64998627,"2015-06-07 00:40:39",607346396686098432,"Cerrando con broche de oro nuestro viaje!! Mmmm (@ Ruth's Chris Steak House - @hiltonhotels in Toronto, ON) https://t.co/9IiZlhV0BT",1.3841
-84.50666667,39.09749985,"2015-06-07 00:40:40",607346398498066433,"Bro tanks at the Braseball game #foryourtan @ Great American Ball Park https://t.co/iJtHL63aDE",1.2308
-84.19018678,39.75687027,"2015-06-07 00:40:40",607346400616185856,"Worked so hard for this!!! Went from 6th in my first show a month ago to 2nd today. I'd like to thank https://t.co/gxRL3otz7C",0.8263
-75.67481810,45.43946457,"2015-06-07 00:40:41",607346403677978624,"Huevos Rancheros for Brunch. @ Ola Cocina https://t.co/JoAUEjTQ5j",1.6635
-85.87320900,39.61125565,"2015-06-07 00:40:41",607346404625891329,"can't forget about the graduate, congratulations Faith!  @ Triton Central High School https://t.co/2HdGJ1ztDU",1.1849
-81.58695000,41.55254745,"2015-06-07 00:40:42",607346408816001025,"#THROWBACK WIT MY LIL NIGGA HIM WAS SO LITTLE #WHEREDOESTHETIMEGO? @ Cleveland Job Corps https://t.co/KTYHDchlEs",0.6727
-80.08276304,42.12824631,"2015-06-07 00:40:43",607346414969057280,"2 biggest turn offs: 
1) Seeing a man walk a dog tht weighs less than 30lbs
2) Seeing a man pet his hair thts longer and silkier than mine",0.6721
-79.07707441,43.08582687,"2015-06-07 00:40:45",607346423462559745,"#speechless
#niagarafalls @ Niagara Falls https://t.co/IXRXVdRFo0",0.5431
-73.37831184,40.70303345,"2015-06-07 00:40:46",607346423810637824,"always an adventure with her @ cropped David &amp;&amp; Cole out https://t.co/GsZcQgLnGx",1.3088
-76.51207810,39.29838943,"2015-06-07 00:40:46",607346424196513793,"Super bored",0.6243
-76.85798100,39.20299911,"2015-06-07 00:40:46",607346424246730752,"We're #hiring! Read about our latest #job opening here: Applications Software Developer - http://t.co/btFf8hDOuN #Columbia, MD #IT #Veterans",1.3056
-74.80810000,38.99649811,"2015-06-07 00:40:46",607346425362546689,"With some Stoli Vanila...tastes like a root beer float... (Not Your Father's Root Beer (5.9%)) http://t.co/Nh4YF3wB04",1.5324
-77.05991795,38.90129852,"2015-06-07 00:40:48",607346432610332672," @ Tony &amp; Joe's Seafood Place https://t.co/fRUNZgKKTA",1.3698
-77.03177127,38.91701889,"2015-06-07 00:40:49",607346437194698752,"'Cause were on top of the world #rooftopsandfriends @ 14th &amp; U Street https://t.co/SF1pCRn9Id",1.2886
-71.04049100,42.35136795,"2015-06-07 00:40:49",607346438285205504,"New Event: Boathouse Friday Cruises @ Spirit of Boston (Boston, MA) http://t.co/agTc9gZgK9",1.2508
-76.15590632,43.05018616,"2015-06-07 00:40:50",607346444169846784,"#tasteofsyracuse #dinosaur #bbq #smokedtoperfection #samples #foodaddict #festivalseason https://t.co/WHZVIEFjIy",1.3964
-73.98645400,40.76095963,"2015-06-07 00:40:51",607346448229900288,"Shoutout to me boy ade__wtp for his 30th birthday... @ The Attic Rooftop &amp; Lounge https://t.co/vRG8Ephf4m",1.2961
-71.10930000,42.32210159,"2015-06-07 00:40:54",607346457427984384,"Drinking a Sweet Action by @sixpoint @ Brendan Behan Pub  http://t.co/KcUoXAwOBY",1.6746
-77.20429690,39.17026520,"2015-06-07 00:40:55",607346462855282688,"If yore a #Hospitality professional in #Gaithersburg, MD, check out this #job: http://t.co/deTt6rPv2C #Veterans #Hiring #TweetMyJobs",1.7075
-73.94764148,40.77534866,"2015-06-07 00:40:55",607346463211982848,"Italian Dinner with my coworkers!!  @ Arturo's Italian Restaurant https://t.co/mcWKUIlWwP",1.2923
